timestamp,symbol,signal,entry_price,stop_loss,target,exit_price,outcome,pnl,shares,force_score,combined_score,f1,f2,f3,f4,f5,f6,f7,f8,f9,lead_status,lead_progress,bayesian_prob,ml_prob,mc_prob,significance_p,regime,capital_after,notes
2026-09-08T04:07:12.088113,,BUY,100.0,,,,,,1,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:11:26.634254,,BUY,100.0,99.0,102.0,,,,10,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:11:26.634527,,BUY,200.0,198.0,204.0,,,,2,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:13:53.843203,,BUY,100.0,99.0,105.0,,,,10,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:18:05.246339,,BUY,100.0,99.0,105.0,,,,10,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:18:05.246566,,SELL,100.0,101.0,95.0,,,,10,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:18:05.246775,,BUY,100.0,99.0,105.0,,,,10,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:19:46.905501,,BUY,100.0,99.0,105.0,,,,10,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:19:46.905830,,SELL,100.0,101.0,95.0,,,,10,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:21:41.808207,,BUY,100.0,99.0,105.0,,,,10,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:21:41.808529,,SELL,100.0,101.0,95.0,,,,10,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:23:39.646734,,BUY,100.0,99.0,105.0,,,,10,0.8,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:25:56.097867,,BUY,100.0,99.0,105.0,,,,10,0.8,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:25:56.497197,,SELL,100.0,101.0,95.0,,,,10,0.7,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:25:56.499278,,BUY,100.0,99.0,105.0,,,,10,0.8,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:27:33.836391,,BUY,100.0,99.0,105.0,,,,10,0.8,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:27:34.124663,,SELL,100.0,101.0,95.0,,,,10,0.7,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:27:34.126498,,BUY,100.0,99.0,105.0,,,,10,0.8,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:32:16.462104,,BUY,100.0,99.0,105.0,,,,5,,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:36:46.266071,TEST,BUY,100.0,99.0,105.0,,,,5,0.8,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:36:46.563745,TEST,BUY,100.0,99.0,105.0,,,,5,0.7,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:48:52.229409,TEST,BUY,100.0,99.0,105.0,,,,5,0.8,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T04:48:52.519266,TEST,BUY,100.0,99.0,105.0,,,,5,0.7,,,,,,,,,,,,,,,,,,,Virtual-only paper trade
2026-09-08T06:14:07.476293,TEST,BUY,100.0,99.0,105.0,105.0,WIN,25.0,5,0.8,,,,,,,,,,,,,,,,,,10025.0,Virtual-only paper trade
2026-09-08T06:14:07.486261,TEST,BUY,100.0,99.0,105.0,98.5,LOSS,-7.5,5,0.7,,,,,,,,,,,,,,,,,,9992.5,Virtual-only paper trade
2026-09-08T06:15:28.750516,TEST,BUY,100.0,99.0,105.0,105.0,WIN,25.0,5,0.8,,,,,,,,,,,,,,,,,,10025.0,Virtual-only paper trade
2026-09-08T06:15:28.758251,TEST,BUY,100.0,99.0,105.0,98.5,LOSS,-7.5,5,0.7,,,,,,,,,,,,,,,,,,9992.5,Virtual-only paper trade
2026-09-12T17:34:27.324559,TEST,BUY,100.0,99.0,105.0,105.0,WIN,25.0,5,0.8,,,,,,,,,,,,,,,,,,10025.0,Virtual-only paper trade
2026-09-12T17:34:27.344165,TEST,BUY,100.0,99.0,105.0,98.5,LOSS,-7.5,5,0.7,,,,,,,,,,,,,,,,,,9992.5,Virtual-only paper trade
2026-09-12T17:35:37.810321,TEST,BUY,100.0,99.0,105.0,105.0,WIN,25.0,5,0.8,,,,,,,,,,,,,,,,,,10025.0,Virtual-only paper trade
2026-09-12T17:35:37.817859,TEST,BUY,100.0,99.0,105.0,98.5,LOSS,-7.5,5,0.7,,,,,,,,,,,,,,,,,,9992.5,Virtual-only paper trade
2026-09-12T17:48:21.013195,TEST,BUY,100.0,99.0,105.0,105.0,WIN,25.0,5,0.8,,,,,,,,,,,,,,,,,,10025.0,Virtual-only paper trade
2026-09-12T17:48:21.263320,TEST,BUY,100.0,99.0,105.0,98.5,LOSS,-7.5,5,0.7,,,,,,,,,,,,,,,,,,9992.5,Virtual-only paper trade
2026-09-12T17:49:19.718418,TEST,BUY,100.0,99.0,105.0,105.0,WIN,25.0,5,0.8,,,,,,,,,,,,,,,,,,10025.0,Virtual-only paper trade
2026-09-12T17:49:19.727197,TEST,BUY,100.0,99.0,105.0,98.5,LOSS,-7.5,5,0.7,,,,,,,,,,,,,,,,,,9992.5,Virtual-only paper trade
2026-09-12T17:52:00.131702,TEST,BUY,100.0,99.0,105.0,105.0,WIN,25.0,5,0.8,,,,,,,,,,,,,,,,,,10025.0,Virtual-only paper trade
2026-09-12T17:52:00.139528,TEST,BUY,100.0,99.0,105.0,98.5,LOSS,-7.5,5,0.7,,,,,,,,,,,,,,,,,,9992.5,Virtual-only paper trade
2026-09-12T18:33:55.906053,TEST,BUY,100.0,99.0,105.0,105.0,WIN,25.0,5,0.8,,,,,,,,,,,,,,,,,,10025.0,Virtual-only paper trade
2026-09-12T18:33:55.921043,TEST,BUY,100.0,99.0,105.0,98.5,LOSS,-7.5,5,0.7,,,,,,,,,,,,,,,,,,9992.5,Virtual-only paper trade
2026-09-12T18:39:29.048010,TEST,BUY,100.0,99.0,105.0,105.0,WIN,25.0,5,0.8,,,,,,,,,,,,,,,,,,10025.0,Virtual-only paper trade
2026-09-12T18:39:29.058451,TEST,BUY,100.0,99.0,105.0,98.5,LOSS,-7.5,5,0.7,,,,,,,,,,,,,,,,,,9992.5,Virtual-only paper trade
